date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:16:11	1837/1837	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225ecbaba0-72d%22	https://demo.dashboardpack.com/architectui-html-pro/assets/fonts/LT.svg	C:/Users/User/Downloads/davlab/demo.dashboardpack.com/architectui-html-pro/assets/fonts/LT.svg	(from https://demo.dashboardpack.com/architectui-html-pro/main.d810cf0ae7f39f28f336.css)
16:16:11	1608/1608	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225ecbaba0-648%22	https://demo.dashboardpack.com/architectui-html-pro/assets/fonts/LU.svg	C:/Users/User/Downloads/davlab/demo.dashboardpack.com/architectui-html-pro/assets/fonts/LU.svg	(from https://demo.dashboardpack.com/architectui-html-pro/main.d810cf0ae7f39f28f336.css)
16:16:11	1378/1378	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225ecbaba0-562%22	https://demo.dashboardpack.com/architectui-html-pro/assets/fonts/LV.svg	C:/Users/User/Downloads/davlab/demo.dashboardpack.com/architectui-html-pro/assets/fonts/LV.svg	(from https://demo.dashboardpack.com/architectui-html-pro/main.d810cf0ae7f39f28f336.css)
16:16:12	2442/2442	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225ecbaba0-98a%22	https://demo.dashboardpack.com/architectui-html-pro/assets/fonts/LY.svg	C:/Users/User/Downloads/davlab/demo.dashboardpack.com/architectui-html-pro/assets/fonts/LY.svg	(from https://demo.dashboardpack.com/architectui-html-pro/main.d810cf0ae7f39f28f336.css)
16:16:12	1700/1700	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225ecbaba0-6a4%22	https://demo.dashboardpack.com/architectui-html-pro/assets/fonts/MA.svg	C:/Users/User/Downloads/davlab/demo.dashboardpack.com/architectui-html-pro/assets/fonts/MA.svg	(from https://demo.dashboardpack.com/architectui-html-pro/main.d810cf0ae7f39f28f336.css)
16:16:12	1271/1271	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225ecbaba0-4f7%22	https://demo.dashboardpack.com/architectui-html-pro/assets/fonts/MC.svg	C:/Users/User/Downloads/davlab/demo.dashboardpack.com/architectui-html-pro/assets/fonts/MC.svg	(from https://demo.dashboardpack.com/architectui-html-pro/main.d810cf0ae7f39f28f336.css)
16:16:12	2701/2701	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225ecbaba0-a8d%22	https://demo.dashboardpack.com/architectui-html-pro/assets/fonts/MD.svg	C:/Users/User/Downloads/davlab/demo.dashboardpack.com/architectui-html-pro/assets/fonts/MD.svg	(from https://demo.dashboardpack.com/architectui-html-pro/main.d810cf0ae7f39f28f336.css)
16:16:13	6931/6931	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225ecbaba0-1b13%22	https://demo.dashboardpack.com/architectui-html-pro/assets/fonts/ME.svg	C:/Users/User/Downloads/davlab/demo.dashboardpack.com/architectui-html-pro/assets/fonts/ME.svg	(from https://demo.dashboardpack.com/architectui-html-pro/main.d810cf0ae7f39f28f336.css)
16:16:13	1609/1609	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225ecbaba0-649%22	https://demo.dashboardpack.com/architectui-html-pro/assets/fonts/MF.svg	C:/Users/User/Downloads/davlab/demo.dashboardpack.com/architectui-html-pro/assets/fonts/MF.svg	(from https://demo.dashboardpack.com/architectui-html-pro/main.d810cf0ae7f39f28f336.css)
16:16:13	1607/1607	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225ecbaba0-647%22	https://demo.dashboardpack.com/architectui-html-pro/assets/fonts/MG.svg	C:/Users/User/Downloads/davlab/demo.dashboardpack.com/architectui-html-pro/assets/fonts/MG.svg	(from https://demo.dashboardpack.com/architectui-html-pro/main.d810cf0ae7f39f28f336.css)
